"id","name","sex","birthday","position","salary","EmploymentStatus","DateEmployed","DateTerminated","Tenure","PrimarySupervisor","SecondarySupervisor","ExternalExperience","ExternalExperienceBonus"
"7","劉佳慧","男","1996-04-23","特約人員","44000","在職","2017-05-26","2017-01-26","7","980","706","1","1000"
"9","熊怡如","女","1985-05-08","其他","32000","在職","2023-04-11","2018-02-23","1","249","706","2","2000"
"12","王怡如","男","1992-08-31","特約人員","38000","在職","2021-06-12","2014-07-02","3","693","706","1","1000"
"14","張淑芬","男","2001-05-20","技術員","41000","在職","2021-03-15","2018-04-08","3","842","640","0","0"
"15","袁志偉","女","1997-04-24","技術員","40000","在職","2022-11-03","2009-04-12","2","737","545","2","2000"
"20","劉雅雯","男","1982-08-11","技術員","40000","在職","2022-02-10","2011-02-14","2","669","962","3","2000"
"22","許佳樺","女","1996-06-13","會計","49000","離職","2006-09-15","2017-06-18","11","563","197","0","0"
"23","湯惠如","女","1998-08-15","專案人員","42000","在職","2022-05-31","2005-04-16","2","547","877","6","5000"
"25","陳懿","女","1985-08-10","技術員","44000","在職","2020-03-12","2008-12-05","4","673","197","0","0"
"26","張冠廷","女","2000-08-01","特約人員","37000","在職","2021-10-13","2019-09-09","3","790","980","0","0"
"29","蘇彥廷","男","2001-09-12","測試者","45000","在職","2016-09-09","2008-12-16","8","706","669","0","0"
"34","梁飛","女","1989-09-22","小組長","40000","在職","2023-06-18","2010-07-03","1","19","null","0","0"
"36","施雅萍","女","1998-10-17","技術員","50000","離職","2012-01-29","2018-05-03","6","197","48","5","3000"
"37","竇淑貞","女","2000-02-13","專案人員","40000","在職","2022-09-10","2010-12-01","2","669","508","4","3000"
"50","陳怡婷","男","1985-07-10","技術員","41000","在職","2021-08-07","2012-05-23","3","948","578","0","0"
"54","竇淑慧","男","1984-04-18","行政助理","45000","在職","2013-08-10","2007-10-11","11","637","894","0","0"
"59","李瑋婷","男","1997-09-14","專案人員","46000","在職","2020-11-10","2018-11-27","4","141","508","5","3000"
"61","覃佩君","女","1978-03-12","客服員","50000","在職","2012-05-12","2006-04-24","12","790","962","4","3000"
"67","李俊宏","女","2002-05-01","技術員","47000","在職","2016-04-05","2008-01-05","8","48","790","0","0"
"73","陳承翰","男","1977-01-19","技術員","52000","在職","2012-01-18","2003-02-03","12","640","842","2","2000"
"76","鄧冠宇","女","1966-06-10","特約人員","33000","離職","2018-07-02","2019-05-04","1","109","790","2","2000"
"81","余怡婷","女","1991-10-15","技術員","38000","離職","2011-04-01","2013-03-22","2","962","583","0","0"
"82","楊志宏","女","1961-08-31","專案人員","37000","在職","2023-08-27","2013-06-19","1","508","154","4","3000"
"89","沈靜宜","女","2000-09-04","特約人員","31000","離職","2024-05-10","2024-06-21","0","143","640","0","0"
"91","左淑芬","女","2001-01-07","技術員","35000","離職","2005-10-28","2006-12-21","1","637","197","0","0"
"95","鄭宗翰","男","2002-04-29","會計","46000","在職","2015-04-18","2014-08-01","9","508","197","0","0"
"96","侯雅惠","男","1999-08-23","小組長","51000","在職","2021-01-23","2015-04-23","3","972","null","8","5000"
"101","曾飛","男","1965-01-05","小組長","58000","在職","2007-08-11","2005-07-18","17","19","null","0","0"
"103","劉家銘","男","1995-03-30","測試者","51000","在職","2011-12-15","2008-04-09","13","101","563","4","3000"
"109","程怡伶","女","1976-01-30","小組長","54000","離職","2006-09-23","2010-11-23","4","19","null","7","5000"
"116","陳佩珊","女","2002-04-09","其他","42000","離職","2010-11-10","2018-08-05","8","637","508","0","0"
"121","丁鈺婷","男","1999-11-19","其他","30000","在職","2024-07-11","2005-09-14","0","637","143","0","0"
"129","張怡婷","男","1982-07-26","技術員","47000","在職","2017-03-22","2014-12-10","7","34","877","0","0"
"132","李雅惠","女","1979-06-04","客服員","50000","離職","2012-12-01","2004-12-29","12","364","737","5","3000"
"134","李俊宏","男","1986-07-20","會計","46000","離職","2004-02-07","2012-02-18","8","192","96","0","0"
"136","傅雅婷","女","1987-12-25","其他","39000","離職","2019-06-24","2023-10-30","4","948","192","0","0"
"141","傅淑慧","女","2002-05-04","主管","55000","離職","2021-11-07","2022-05-12","1","19","null","7","5000"
"143","劉雅筑","女","2000-03-08","主管","61000","在職","2020-01-04","2012-04-08","4","19","null","2","2000"
"145","曲中山","男","2000-10-19","技術員","44000","離職","2021-03-09","2024-02-08","3","673","669","5","3000"
"151","謝雅琪","男","1998-12-29","技術員","35000","離職","2021-05-26","2022-09-01","1","894","706","0","0"
"154","趙飛","女","1968-07-12","小組長","46000","在職","2021-05-23","2012-09-12","3","19","null","0","0"
"156","李郁雯","男","1998-05-30","技術員","35000","離職","2023-06-13","2023-06-23","0","706","980","0","0"
"162","蘇美玲","男","1984-06-19","技術員","45000","在職","2020-05-27","2008-07-25","4","980","547","1","1000"
"168","周宇軒","女","2000-07-29","技術員","36000","在職","2023-06-21","2022-01-06","1","508","980","1","1000"
"169","顏怡婷","男","1967-06-19","測試者","38000","離職","2020-03-07","2022-10-03","2","669","583","2","2000"
"170","武淑娟","女","1997-11-03","客服員","32000","在職","2023-09-14","2004-08-11","1","545","894","0","0"
"171","高哲瑋","男","1999-07-12","測試者","37000","在職","2022-12-28","2003-02-10","2","890","101","1","1000"
"174","孫龍","男","1999-06-09","其他","42000","離職","2007-12-29","2015-01-17","8","545","141","0","0"
"179","喻慧君","男","2000-04-24","行政助理","41000","在職","2020-03-15","2011-01-13","4","890","948","3","2000"
"189","王惠如","女","1985-12-04","客服員","34000","離職","2021-12-06","2022-06-23","1","508","141","3","2000"
"191","夏淑惠","男","2001-09-02","測試者","35000","離職","2021-12-07","2022-06-19","1","143","96","3","2000"
"194","廉宇軒","女","2001-09-01","會計","36000","離職","2021-06-08","2021-09-20","0","890","364","3","2000"
"200","張詩婷","女","1991-08-27","客服員","38000","在職","2021-08-26","2008-11-30","3","980","842","0","0"
"202","張承翰","男","2001-09-22","其他","33000","在職","2022-03-19","2016-05-09","2","890","249","0","0"
"204","萬惠雯","女","1961-03-31","客服員","34000","離職","2023-08-28","2023-11-27","0","197","669","3","2000"
"209","熊佳慧","男","2001-11-16","技術員","46000","在職","2020-12-02","2012-09-02","4","669","578","3","2000"
"210","高鈺婷","女","1983-06-02","其他","36000","在職","2022-08-21","2010-12-03","2","980","602","4","3000"
"211","張婉婷","男","1998-04-16","技術員","45000","在職","2020-02-18","2010-09-17","4","602","508","1","1000"
"215","王馨儀","男","1979-10-26","其他","35000","在職","2024-10-19","2020-11-24","0","192","877","10","5000"
"220","楊沖","男","1967-05-22","技術員","38000","在職","2022-10-18","2015-05-16","2","48","669","0","0"
"225","蘭淑惠","男","1994-02-06","技術員","41000","在職","2021-07-16","2013-08-29","3","364","890","0","0"
"227","劉雅婷","男","1984-04-22","客服員","32000","離職","2024-07-12","2024-07-31","0","894","508","0","0"
"229","王淑娟","女","2000-06-25","會計","34000","離職","2022-02-24","2022-08-27","0","877","602","0","0"
"234","尚宜君","男","1999-08-21","專案人員","45000","在職","2020-02-20","2017-11-15","4","877","637","2","2000"
"239","鄭郁婷","男","1998-11-04","測試者","36000","離職","2021-05-28","2023-11-17","2","706","249","0","0"
"247","王鈺婷","男","2002-08-19","客服員","35000","離職","2021-06-13","2023-01-17","2","948","602","0","0"
"249","張心怡","女","1998-04-28","主管","58000","在職","2022-03-27","2005-03-25","2","19","null","6","5000"
"250","董淑慧","女","1983-06-04","會計","43000","離職","2018-11-04","2023-05-02","5","547","877","0","0"
"253","郭冠廷","女","2001-02-07","專案人員","34000","離職","2022-01-27","2023-11-26","1","877","790","0","0"
"259","連家銘","女","1999-01-04","其他","42000","在職","2018-01-24","2017-02-17","6","673","792","0","0"
"261","陳羽","女","1969-12-07","技術員","44000","在職","2021-01-06","2014-11-16","3","197","673","4","3000"
"262","佘雅筑","男","1973-09-14","其他","39000","在職","2020-08-28","2019-10-03","4","602","154","0","0"
"274","範俊賢","女","2000-08-13","技術員","47000","在職","2014-11-30","2014-04-28","10","503","792","0","0"
"276","向筱涵","女","1981-11-18","技術員","40000","在職","2022-05-07","2004-02-23","2","962","792","2","2000"
"284","吳沖","女","2002-07-24","專案人員","57000","在職","2005-01-05","2004-09-16","19","197","980","8","5000"
